probename,Probability,foldchange,Representative.Public.ID,UniGene.ID,Gene.Title,Gene.Symbol,,,,
1439560_x_at,1,3.060586315,AV066667,Mm.271618,hypothetical gene supported by BC047216 /// hypothetical gene supported by BC047216,LOC432995 /// LOC436333,,,,
1426808_at,1,3.058661219,X16834,Mm.248615,"lectin, galactose binding, soluble 3",Lgals3,,,,
1426734_at,1,3.058208146,BB008324,Mm.28244,cDNA sequence BC022623,BC022623,,,,
1436778_at,1,3.057992528,AV373944,Mm.200362,"cytochrome b-245, beta polypeptide",Cybb,,,,
1424595_at,1,3.05587681,BC021876,Mm.294882,F11 receptor,F11r,,,,
1417960_at,1,3.05575723,NM_007755,Mm.273122,cytoplasmic polyadenylation element binding protein 1,Cpeb1,,,,
1439740_s_at,1,3.052106888,AU018180,---,expressed sequence AI481316,AI481316,,,,
1423269_a_at,1,3.044699574,BB663717,Mm.98668,"neural precursor cell expressed, developmentally down-regulated gene 4-like",Nedd4l,,,,
1433983_at,1,3.042725926,AV351864,Mm.37984,Cnksr family member 3,Cnksr3,,,,
1455795_at,1,3.03967213,BM207218,Mm.34557,squamous cell carcinoma antigen recognized by T cells 2,Sart2,,,,
1423586_at,1,3.034978944,AA500897,Mm.4128,AXL receptor tyrosine kinase,Axl,,,,
1431130_at,1,3.032334341,AK008392,Mm.96997,RIKEN cDNA 2010110P09 gene,2010110P09Rik,,,,
1429505_at,1,3.031809279,AK010199,Mm.376247,RIKEN cDNA 2310076G13 gene,2310076G13Rik,,,,
1453416_at,1,3.031182953,BE199211,Mm.11982,growth arrest-specific 2 like 3,Gas2l3,,,,
1446417_at,1,3.02920089,AW553625,Mm.252210,Receptor (TNFRSF)-interacting serine-threonine kinase 1,Serpinb6a,,,,
1436534_at,1,3.027076926,BQ176653,Mm.40370,Sjogren syndrome antigen A2,Ssa2,,,,
1418230_a_at,1,3.023868329,BC005621,Mm.57734,LIM and senescent cell antigen-like domains 1,Lims1,,,,
1418280_at,1,3.022921964,NM_011803,Mm.275036,Kruppel-like factor 6,Klf6,,,,
1417219_s_at,1,3.022283531,NM_025284,Mm.3532,"thymosin, beta 10",Tmsb10,,,,
1450922_a_at,1,3.02177088,BF144658,Mm.18213,"transforming growth factor, beta 2",Tgfb2,,,,
1452036_a_at,1,3.021755268,AA153892,Mm.159684,thymopoietin,Tmpo,,,,
1439836_at,1,3.016493614,BB138331,Mm.160150,ankyrin repeat and SOCS box-containing protein 15,Asb15,,,,
1452016_at,1,3.013684942,BC026209,Mm.19844,arachidonate 5-lipoxygenase activating protein,Alox5ap,,,,
1450648_s_at,1,3.013494537,NM_010379,Mm.254067,"histocompatibility 2, class II antigen A, beta 1 /// response to metastatic cancers 1",H2-Ab1 /// Rmcs1,,,,
1444495_at,1,3.009427588,AI585784,Mm.196558,Selenium binding protein 1,Selenbp1,,,,
1416187_s_at,1,3.008983912,NM_026383,Mm.29159,proline-rich nuclear receptor coactivator 2,Pnrc2,,,,
1428853_at,1,3.007780173,BG071079,Mm.228798,patched homolog 1,Ptch1,,,,
1427565_a_at,1,3.007736109,AF213387,Mm.20845,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",Abcc5,,,,
1434449_at,1,3.004883326,BB193413,Mm.250786,aquaporin 4,Aqp4,,,,
1419599_s_at,1,3.003279948,NM_026835,---,"membrane-spanning 4-domains, subfamily A, member 11",Ms4a11,,,,
1426434_at,1,3.001780373,AI747289,Mm.38801,transmembrane protein 43,Tmem43,,,,
1434025_at,1,2.997273958,BG069607,Mm.360986,Transcribed locus,---,,,,
1435207_at,1,2.994321205,BB758432,Mm.82598,DIX domain containing 1,Dixdc1,,,,
1427483_at,1,2.990732443,BF578055,Mm.33574,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24",Slc25a24,,,,
1417471_s_at,1,2.989772057,NM_133825,Mm.12309,"DNA segment, Chr 1, ERATO Doi 622, expressed",D1Ertd622e,,,,
1455609_at,1,2.980778049,BB525143,Mm.101432,RIKEN cDNA C030025P15 gene,C030025P15Rik,,,,
1434256_s_at,1,2.980236604,BM214378,Mm.284503,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,Cds2,,,,
1437863_at,1,2.97752953,BB667762,---,---,---,,,,
1431806_at,1,2.976271636,AK016444,Mm.251476,RIKEN cDNA 4931408D14 gene,4931408D14Rik,,,,
1448314_at,1,2.974733426,NM_007659,Mm.281367,cell division cycle 2 homolog A (S. pombe),Cdc2a,,,,
1448689_at,1,2.970031624,NM_025846,Mm.276572,related RAS viral (r-ras) oncogene homolog 2,Rras2,,,,
1452024_a_at,1,2.969118354,AF030333,Mm.327442,LIM domain binding 1,Ldb1,,,,
1421811_at,1,2.968753726,AI385532,Mm.4159,thrombospondin 1,Thbs1,,,,
1417409_at,1,2.968213894,NM_010591,Mm.275071,Jun oncogene,Jun,,,,
1423389_at,1,2.966095258,BF226166,Mm.34407,MAD homolog 7 (Drosophila),Smad7,,,,
1425273_s_at,1,2.965417335,AF083876,Mm.246009,epithelial membrane protein 2,Emp2,,,,
1451075_s_at,1,2.963509902,BB294133,Mm.29490,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",Ctdsp2,,,,
1423547_at,1,2.96191486,AW208566,Mm.45436,lysozyme,Lyzs,,,,
1436996_x_at,1,2.961304465,AV066625,Mm.177539,P lysozyme structural,Lzp-s,,,,
1417222_a_at,1,2.960638275,NM_133739,Mm.283293,RIKEN cDNA 2310075C12 gene,2310075C12Rik,,,,
1415971_at,1,2.957156256,AW546141,Mm.30059,myristoylated alanine rich protein kinase C substrate,Marcks,,,,
1419455_at,1,2.957111064,NM_008349,Mm.4154,"interleukin 10 receptor, beta",Il10rb,,,,
1453271_at,1,2.955857983,AK003209,Mm.212411,PHD finger protein 14,Phf14,,,,
1438559_x_at,1,2.950687804,BB145101,Mm.148425,RIKEN cDNA 1110028E10 gene,1110028E10Rik,,,,
1448620_at,1,2.947813282,NM_010188,Mm.22119,"Fc receptor, IgG, low affinity III",Fcgr3,,,,
1422444_at,1,2.94282977,BM935811,Mm.225096,integrin alpha 6,Itga6,,,,
1416258_at,1,2.941292563,NM_009387,Mm.2661,thymidine kinase 1,Tk1,,,,
1417196_s_at,1,2.939067392,NM_133791,Mm.235074,"DNA segment, Chr 8, ERATO Doi 594, expressed",D8Ertd594e,,,,
1417266_at,1,2.938431862,BC002073,Mm.137,chemokine (C-C motif) ligand 6,Ccl6,,,,
1429184_at,1,2.933050184,BM243571,Mm.97986,"GTPase, very large interferon inducible 1",Gvin1,,,,
1455870_at,1,2.932708984,AI649048,Mm.348266,A kinase (PRKA) anchor protein 2,Akap2,,,,
1439478_at,1,2.931190329,BB500039,Mm.371675,mitochondrial acyl-CoA thioesterase 1,MGI:2159605,,,,
1452298_a_at,1,2.930898739,AW546331,Mm.260098,myosin Vb,Myo5b,,,,
1435820_x_at,1,2.928918958,AI874681,Mm.5021,"discoidin domain receptor family, member 1",Ddr1,,,,
1443904_at,1,2.928103015,BE996238,Mm.21995,"fatty acid desaturase domain family, member 6",Fads6,,,,
1428066_at,1,2.927125307,AK009768,Mm.63342,"DNA segment, Chr X, Immunex 50, expressed",DXImx50e,,,,
1453924_a_at,1,2.926767408,AK014673,Mm.331442,prostaglandin F receptor,Ptgfr,,,,
1434497_at,1,2.924469744,BB754142,---,---,---,,,,
1416199_at,1,2.922778351,NM_010631,Mm.22513,kinesin family member C3,Kifc3,,,,
1441213_at,1,2.922303771,AV370141,Mm.216458,CDNA sequence BC021891,BC021891,,,,
1432344_a_at,1,2.92104983,AK013376,Mm.19133,amyloid beta (A4) precursor-like protein 2,Aplp2,,,,
AFFX-PyruCarbMur/L09192_5_at,1,2.919274324,AFFX-PyruCarbMur/L09192_5,Mm.1845,pyruvate carboxylase,Pcx,,,,
1448666_s_at,1,2.918320143,AV174616,Mm.323595,"transducer of ERBB2, 2",Tob2,,,,
1438779_at,1,2.917406218,AV366831,Mm.374784,"procollagen, type IV, alpha 3",Col4a3,,,,
1415839_a_at,1,2.915701017,NM_008722,Mm.6343,nucleophosmin 1,Npm1,,,,
1452534_a_at,1,2.914772452,X67668,Mm.279998,high mobility group box 2,Hmgb2,,,,
1417323_at,1,2.913910878,NM_019976,Mm.214328,RIKEN cDNA 5430413I02 gene,5430413I02Rik,,,,
1429139_at,1,2.912789438,AK013730,Mm.272336,"zinc finger, A20 domain containing 1",Za20d1,,,,
1452832_s_at,1,2.911414554,BG296584,Mm.284503,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,Cds2,,,,
1435449_at,1,2.910409322,BM120925,Mm.141083,BCL2-like 11 (apoptosis facilitator),Bcl2l11,,,,
1416825_at,1,2.900810572,NM_009228,Mm.1541,"syntrophin, acidic 1",Snta1,,,,
1423592_at,1,2.899927559,BB761686,Mm.276024,Rho-associated coiled-coil forming kinase 2,Rock2,,,,
1436195_at,1,2.899298743,BM933144,Mm.339972,cDNA sequence BC046404,BC046404,,,,
1437197_at,1,2.898746539,BB251748,Mm.211096,RIKEN cDNA 9430041O17 gene,9430041O17Rik,,,,
1442026_at,1,2.896487892,AI467657,---,---,---,,,,
1427186_a_at,1,2.896301178,AV255689,Mm.132788,myocyte enhancer factor 2A,Mef2a,,,,
1420394_s_at,1,2.894710734,U05264,Mm.358601,"glycoprotein 49 A /// leukocyte immunoglobulin-like receptor, subfamily B, member 4",Gp49a /// Lilrb4,,,,
1427151_at,1,2.892748142,BC021511,Mm.274314,RIKEN cDNA 4732486I23 gene,4732486I23Rik,,,,
1424123_at,1,2.892675589,BC011209,Mm.301076,cDNA sequence BC011209,BC011209,,,,
1415871_at,1,2.891932823,NM_009369,Mm.14455,"transforming growth factor, beta induced",Tgfbi,,,,
1450928_at,1,2.885177629,BB121406,Mm.283273,inhibitor of DNA binding 4,Id4,,,,
1452209_at,1,2.883285456,AV286396,Mm.260938,plakophilin 4,Pkp4,,,,
1455869_at,1,2.882114266,BG862223,Mm.4857,"Calcium/calmodulin-dependent protein kinase II, beta",Camk2b,,,,
1429739_a_at,1,2.881434196,AK018372,Mm.275563,zinc finger protein 278,Zfp278,,,,
1416186_at,1,2.88118302,NM_026383,Mm.29159,proline-rich nuclear receptor coactivator 2,Pnrc2,,,,
1451703_s_at,1,2.879119071,M11310,---,---,---,,,,
1418300_a_at,1,2.876690755,NM_021462,Mm.42126,MAP kinase-interacting serine/threonine kinase 2,Mknk2,,,,
1428564_at,1,2.873408162,AK003337,Mm.361863,zinc finger protein 579,Zfp579,,,,
1418924_at,1,2.866974484,NM_025886,Mm.21202,RIKEN cDNA 2400009B11 gene,2400009B11Rik,,,,
1433398_at,1,2.859924575,AK018025,---,RIKEN cDNA 5830461L01 gene,5830461L01Rik,,,,
1419251_at,1,2.859339498,BG067649,Mm.318250,epidermal growth factor receptor pathway substrate 15,Eps15,,,,
1417817_a_at,1,2.858371688,BC014727,Mm.227202,WW domain containing transcription regulator 1,Wwtr1,,,,
1426774_at,1,2.856108937,BM227980,Mm.268462,"poly (ADP-ribose) polymerase family, member 12",Parp12,,,,
1430604_a_at,1,2.855648646,AW986632,Mm.240830,disabled homolog 2 (Drosophila),Dab2,,,,
1418983_at,1,2.853333498,AV287690,Mm.90218,InaD-like (Drosophila),Inadl,,,,
1437313_x_at,1,2.852356939,C85885,Mm.279998,high mobility group box 2 /// similar to high mobility group protein B2 /// similar to high mobility group protein B2 /// similar to high mobility group protein B2 /// similar to high mobility group protein B2,Hmgb2 /// LOC433785 /// LOC433788 /// LOC433799 /// LOC545710,,,,
1435560_at,1,2.85208947,BI554446,---,---,---,,,,
1422411_s_at,1,2.85200854,NM_017388,Mm.327088,"eosinophil-associated, ribonuclease A family, member 1 /// eosinophil-associated, ribonuclease A family, member 2 /// eosinophil-associated, ribonuclease A family, member 3 /// eosinophil-associated, ribonuclease A family, member 12",Ear1 /// Ear2 /// Ear3 /// Ear12,,,,
1450947_at,1,2.850974796,AK012175,Mm.34431,RIKEN cDNA 2610528J11 gene,2610528J11Rik,,,,
1416257_at,1,2.846840287,NM_009794,Mm.19306,calpain 2,Capn2,,,,
1436173_at,1,2.838376723,BB768194,Mm.210875,Deleted in liver cancer 1,Dlc1,,,,
1441326_at,1,2.837436636,AV381752,Mm.13787,ceruloplasmin,Cp,,,,
1428608_at,1,2.835359469,AW494458,Mm.306770,"myosin light chain, regulatory B",Mylc2b,,,,
1422925_s_at,1,2.83286857,NM_134246,Mm.202331,peroxisomal acyl-CoA thioesterase 2A,MGI:2159619,,,,
1423691_x_at,1,2.832634004,M21836,Mm.358618,"keratin complex 2, basic, gene 8",Krt2-8,,,,
1455547_at,1,2.828572499,BM125518,Mm.24503,scrapie responsive gene 3,Scrg3,,,,
1448490_at,1,2.826709473,NM_133770,Mm.124728,aarF domain containing kinase 4,Adck4,,,,
1424214_at,1,2.825653865,BC006604,Mm.5002,RIKEN cDNA 9130213B05 gene,9130213B05Rik,,,,
1460196_at,1,2.82143561,NM_007620,Mm.26940,carbonyl reductase 1,Cbr1,,,,
1451275_at,1,2.816825015,BG066858,Mm.268922,RIKEN cDNA E030041M21 gene,E030041M21Rik,,,,
1455812_x_at,1,2.815502231,BB530515,Mm.248337,Slit-like 2 (Drosophila),Slitl2,,,,
1436984_at,1,2.815467798,BG261647,Mm.212066,abl-interactor 2,Abi2,,,,
1433543_at,1,2.813840992,BI690018,Mm.282751,"anillin, actin binding protein (scraps homolog, Drosophila)",Anln,,,,
1437395_at,1,2.813191603,BE370775,Mm.25181,"zinc finger, CCHC domain containing 11",Zcchc11,,,,
1450874_at,1,2.810813652,BF226671,Mm.215034,matrin 3,Matr3,,,,
1430353_at,1,2.808636121,BB207363,Mm.170521,GLIS family zinc finger 3,Glis3,,,,
1439617_s_at,1,2.807984635,AI265463,Mm.266867,"phosphoenolpyruvate carboxykinase 1, cytosolic",Pck1,,,,
1452129_at,1,2.807741449,BB430390,Mm.294225,parathyroid hormone receptor 2,Pthr2,,,,
1424144_at,1,2.802488844,AF477481,Mm.21873,retroviral integration site 2,Ris2,,,,
1416842_at,1,2.802347171,NM_010360,Mm.282351,"glutathione S-transferase, mu 5",Gstm5,,,,
1436506_a_at,1,2.802238111,AW988981,Mm.28311,RIKEN cDNA 1110008H02 gene,1110008H02Rik,,,,
1448162_at,1,2.800699508,BB250384,Mm.76649,vascular cell adhesion molecule 1,Vcam1,,,,
1448623_at,1,2.799214836,NM_133739,Mm.283293,RIKEN cDNA 2310075C12 gene,2310075C12Rik,,,,
1456250_x_at,1,2.795679117,BB533460,Mm.14455,"transforming growth factor, beta induced",Tgfbi,,,,
1455862_at,1,2.794740679,BB131620,Mm.260956,RIKEN cDNA 9630054F20 gene,9630054F20Rik,,,,
1426956_a_at,1,2.794180911,AJ414734,Mm.215389,transformation related protein 53 binding protein 1,Trp53bp1,,,,
1426803_at,1,2.7939304,BM120471,Mm.291542,RIKEN cDNA 1700009P03 gene,1700009P03Rik,,,,
1428663_at,1,2.792665342,AK017223,---,RIKEN cDNA 5133401H06 gene,5133401H06Rik,,,,
1417378_at,1,2.788868929,NM_018770,---,---,---,,,,
1417410_s_at,1,2.787643122,NM_008857,Mm.291554,"protein kinase C, iota",Prkci,,,,
1426664_x_at,1,2.786871602,BC024519,Mm.200307,prostate cancer associated protein 6,Pcanap6,,,,
1435754_at,1,2.786433454,BQ180736,Mm.259506,"DNA segment, Chr 6, Brigham & Women's Genetics 1452 expressed",D6Bwg1452e,,,,
1451583_a_at,1,2.784578188,BC025076,Mm.295306,cDNA sequence BC025076,BC025076,,,,
1437244_at,1,2.781601503,BB770972,Mm.354736,Growth arrest-specific 2 like 3,Gas2l3,,,,
1428684_at,1,2.778709625,BG065846,---,RIKEN cDNA 1500001M20 gene,1500001M20Rik,,,,
1437318_at,1,2.77727948,BB468082,Mm.40035,p21 (CDKN1A)-activated kinase 3,Pak3,,,,
1437874_s_at,1,2.773820478,AV225808,Mm.27816,hexosaminidase B,Hexb,,,,
1435493_at,1,2.773593775,AV297961,Mm.355327,desmoplakin,Dsp,,,,
1454891_at,1,2.770479588,BM214378,Mm.284503,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,Cds2,,,,
1429053_at,1,2.770188943,BB795266,Mm.33421,RIKEN cDNA 1110012J17 gene,1110012J17Rik,,,,
1435768_at,1,2.768399981,AV371758,Mm.193588,AT rich interactive domain 4B (Rbp1 like),Arid4b,,,,
AFFX-PyruCarbMur/L09192_MB_at,1,2.764755933,AFFX-PyruCarbMur/L09192_MB,Mm.1845,pyruvate carboxylase,Pcx,,,,
1424191_a_at,1,2.763064683,BC019770,Mm.46480,transmembrane protein 41a,Tmem41a,,,,
1436838_x_at,1,2.762739649,BB160417,Mm.141741,coactosin-like 1 (Dictyostelium),Cotl1,,,,
1455009_at,1,2.760378484,AW550842,Mm.276736,carboxypeptidase D,Cpd,,,,
1450977_s_at,1,2.759187872,AI987929,Mm.30837,N-myc downstream regulated gene 1 /// N-myc downstream regulated-like,Ndrg1 /// Ndrl,,,,
1448205_at,1,2.755520418,NM_007629,Mm.260114,"cyclin B1, related sequence 1 /// cyclin B1",Ccnb1-rs1 /// Ccnb1,,,,
1422899_at,1,2.75270731,BC013484,Mm.41963,"solute carrier family 6 (neurotransmitter transporter), member 20",Slc6a20,,,,
1423593_a_at,1,2.751228936,AK004947,Mm.22574,colony stimulating factor 1 receptor,Csf1r,,,,
1429049_at,1,2.749275486,AK004737,Mm.100666,"NUAK family, SNF1-like kinase, 2",Nuak2,,,,
1439441_x_at,1,2.74857901,BB134767,Mm.347899,large tumor suppressor 2,Lats2,,,,
1417963_at,1,2.748038183,NM_011125,Mm.6105,phospholipid transfer protein,Pltp,,,,
1423938_at,1,2.746243526,AY033650,Mm.290450,lethal giant larvae homolog 2,Llglh2,,,,
1433837_at,1,2.742155891,AV365503,Mm.38231,RIKEN cDNA 8430408G22 gene,8430408G22Rik,,,,
1452148_at,1,2.74208484,D00622,Mm.277661,low density lipoprotein receptor-related protein associated protein 1,Lrpap1,,,,
1449054_a_at,1,2.739796595,NM_021567,Mm.286394,poly(rC) binding protein 4,Pcbp4,,,,
1450767_at,1,2.739315049,NM_017464,Mm.288980,"neural precursor cell expressed, developmentally down-regulated gene 9",Nedd9,,,,
1426418_at,1,2.739062695,AK016909,Mm.87449,atonal homolog 8 (Drosophila),Atoh8,,,,
1416251_at,1,2.738891513,NM_008567,Mm.4933,"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)",Mcm6,,,,
1449345_at,1,2.737208865,NM_026613,Mm.181767,RIKEN cDNA 2810027O19 gene,2810027O19Rik,,,,
1424768_at,1,2.736228267,BI248947,Mm.308134,caldesmon 1,Cald1,,,,
1460014_at,1,2.735835044,BB740529,Mm.131234,triggering receptor expressed on myeloid cells-like 4,Treml4,,,,
1434881_s_at,1,2.734765866,BM220945,Mm.246466,potassium channel tetramerisation domain containing 12,Kctd12,,,,
1448169_at,1,2.732484521,NM_010664,Mm.22479,"keratin complex 1, acidic, gene 18",Krt1-18,,,,
1448377_at,1,2.73218084,NM_011414,Mm.371583,secretory leukocyte protease inhibitor,Slpi,,,,
1434437_x_at,1,2.732069028,AV301324,Mm.99,ribonucleotide reductase M2,Rrm2,,,,
1455091_at,1,2.731662397,AI642021,Mm.335386,RIKEN cDNA 3222402P14 gene,3222402P14Rik,,,,
1424468_s_at,1,2.730665097,BC025856,Mm.28639,"pleckstrin homology-like domain, family B, member 1",Phldb1,,,,
1440795_x_at,1,2.730660391,BB259371,Mm.35467,"rabaptin, RAB GTPase binding effector protein 2",Rabep2,,,,
1448770_a_at,1,2.72960574,NM_007512,Mm.2171,ATPase inhibitory factor 1,Atpif1,,,,
1437992_x_at,1,2.728004229,BB039269,Mm.338720,gap junction membrane channel protein alpha 1,Gja1,,,,
1452759_s_at,1,2.727641358,BI149999,Mm.103382,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",Ppfibp1,,,,
1437216_at,1,2.721434992,BB498608,Mm.338284,RIKEN cDNA A430106J12 gene,A430106J12Rik,,,,
1424918_at,1,2.720806494,BC020138,Mm.28823,"TBC1 domain family, member 19",Tbc1d19,,,,
1439426_x_at,1,2.717404082,AV058500,Mm.177539,P lysozyme structural,Lzp-s,,,,
1425679_a_at,1,2.716681717,AF109769,Mm.2720,mitogen activated protein kinase 8 interacting protein 1,Mapk8ip1,,,,
1427537_at,1,2.716501993,BC026387,Mm.259929,epiplakin 1,Eppk1,,,,
1419070_at,1,2.7137704,BF466918,Mm.52265,cystin 1,Cys1,,,,
1418091_at,1,2.71257131,NM_023755,Mm.24621,transcription factor CP2-like 1,Tcfcp2l1,,,,
1454694_a_at,1,2.709350551,BM211413,Mm.4237,topoisomerase (DNA) II alpha,Top2a,,,,
1445328_at,1,2.705584278,BB530633,Mm.347711,RIKEN cDNA E130010M05 gene,E130010M05Rik,,,,
1420113_s_at,1,2.70540911,AA409325,Mm.29063,RIKEN cDNA 2410022L05 gene,2410022L05Rik,,,,
1421224_a_at,1,2.703987531,AB008174,Mm.7226,transcription factor 2,Tcf2,,,,
1428891_at,1,2.702393164,AK008716,Mm.5002,RIKEN cDNA 9130213B05 gene,9130213B05Rik,,,,
1418970_a_at,1,2.702144878,AF100339,Mm.239141,B-cell leukemia/lymphoma 10,Bcl10,,,,
1430514_a_at,1,2.700747761,AK002762,Mm.260878,RIKEN cDNA 2410026K10 gene,2410026K10Rik,,,,
1439341_at,1,2.69577472,BB203252,---,cDNA sequence AK220484,AK220484,,,,
1428842_a_at,1,2.6877733,BI407690,Mm.90787,nerve growth factor receptor (TNFRSF16) associated protein 1,Ngfrap1,,,,
1441081_a_at,1,2.687284439,BE133150,Mm.28895,RIKEN cDNA 1110038B12 gene,1110038B12Rik,,,,
1436905_x_at,1,2.684920803,BB218107,Mm.271868,lysosomal-associated protein transmembrane 5,Laptm5,,,,
1424674_at,1,2.684501961,BB825002,Mm.21688,"solute carrier family 39 (metal ion transporter), member 6",Slc39a6,,,,
1436667_at,1,2.683561429,BB500790,Mm.41963,"solute carrier family 6 (neurotransmitter transporter), member 20",Slc6a20,,,,
1434442_at,1,2.679717297,BB667844,Mm.21965,"DNA segment, Chr 5, ERATO Doi 593, expressed",D5Ertd593e,,,,
1449519_at,1,2.678573366,NM_007836,Mm.1236,growth arrest and DNA-damage-inducible 45 alpha,Gadd45a,,,,
1419662_at,1,2.678146484,BB542051,Mm.4258,osteoglycin,Ogn,,,,
1451064_a_at,1,2.676912966,BC004827,Mm.289936,phosphoserine aminotransferase 1,Psat1,,,,
1435494_s_at,1,2.672936006,AV297961,Mm.355327,desmoplakin,Dsp,,,,
1420772_a_at,1,2.672695266,NM_010286,Mm.22216,TSC22 domain family 3,Tsc22d3,,,,
1439117_at,1,2.67110948,AU067755,Mm.244078,calmin,Clmn,,,,
1460259_s_at,1,2.669657161,AF108501,Mm.275745,chloride channel calcium activated 1 /// chloride channel calcium activated 2,Clca1 /// Clca2,,,,
1419256_at,1,2.669610379,BM213516,Mm.123110,spectrin beta 2,Spnb2,,,,
1422610_s_at,1,2.669144478,NM_023670,Mm.281018,"insulin-like growth factor 2, binding protein 3",Igf2bp3,,,,
1420944_at,1,2.665311674,AK014497,Mm.1161,zinc finger protein 185,Zfp185,,,,
1454699_at,1,2.661262774,BG076140,Mm.139418,Sestrin 1,Sesn1,,,,
1450337_a_at,1,2.658359203,NM_080849,Mm.23788,NIMA (never in mitosis gene a)-related expressed kinase 8,Nek8,,,,
1435926_at,1,2.658328653,BB529627,---,RIKEN cDNA E030003F13 gene,E030003F13Rik,,,,
1450920_at,1,2.657542809,AK013312,Mm.22592,cyclin B2,Ccnb2,,,,
1416528_at,1,2.653591838,NM_080559,Mm.22240,SH3 domain binding glutamic acid-rich protein-like 3,Sh3bgrl3,,,,
1423760_at,1,2.652907674,M27130,Mm.330428,CD44 antigen,Cd44,,,,
1449498_at,1,2.652488995,NM_010766,Mm.1856,macrophage receptor with collagenous structure,Marco,,,,
1449002_at,1,2.651661099,NM_013750,Mm.34346,"pleckstrin homology-like domain, family A, member 3",Phlda3,,,,
1452828_at,1,2.651232833,BG076338,Mm.21912,F-box only protein 21,Fbxo21,,,,
1433700_at,1,2.650856831,BB477807,Mm.248019,RIKEN cDNA 4933433P14 gene,4933433P14Rik,,,,
1437161_x_at,1,2.650544615,BG069460,Mm.323997,RNA binding protein gene with multiple splicing,Rbpms,,,,
1456307_s_at,1,2.649277555,BB746807,Mm.288206,Adenylate cyclase 7,Adcy7,,,,
1425594_at,1,2.648875479,AV267742,Mm.302362,laminin gamma 3,Lamc3,,,,
1431143_x_at,1,2.647720891,AK017403,Mm.286309,apoptosis-inducing factor (AIF)-like mitochondrion-associated inducer of death,Amid,,,,
1424942_a_at,1,2.643227309,BC006728,Mm.2444,myelocytomatosis oncogene,Myc,,,,
1426950_at,1,2.642412097,BC014731,Mm.31129,"poly (ADP-ribose) polymerase family, member 16",Parp16,,,,
1434005_at,1,2.641836183,AW541585,Mm.259667,RIKEN cDNA 6030432P03 gene,Rbms1,,,,
1416419_s_at,1,2.64117544,AF180518,Mm.14638,gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1,Gabarapl1,,,,
1423978_at,1,2.640887535,BC025837,Mm.29660,SH3-binding kinase 1,Sbk1,,,,
1425340_a_at,1,2.634604841,AF332082,Mm.224246,"protein tyrosine phosphatase, receptor type, A",Ptpra,,,,
1418854_at,1,2.634428395,NM_007465,Mm.335659,baculoviral IAP repeat-containing 2,Birc2,,,,
1417598_a_at,1,2.633879391,NM_008053,Mm.259021,"fragile X mental retardation gene 1, autosomal homolog",Fxr1h,,,,
1428369_s_at,1,2.633773754,BM213829,Mm.28507,Rho GTPase activating protein 21,Arhgap21,,,,
1416593_at,1,2.630615568,AF276917,Mm.25844,glutaredoxin 1 (thioltransferase),Glrx1,,,,
1423435_at,1,2.628885543,AW107802,---,---,---,,,,
1460330_at,1,2.627945152,AW702161,Mm.7214,annexin A3,Anxa3,,,,
1437885_at,1,2.623335716,BF682730,Mm.168541,RIKEN cDNA D030029J20 gene,D030029J20Rik,,,,
1449732_at,1,2.622069654,AI326272,Mm.2760,zinc finger proliferation 1,Zipro1,,,,
1442082_at,1,2.620735235,BB333624,Mm.2408,complement component 3a receptor 1,C3ar1,,,,
1428749_at,1,2.620414836,AK018275,Mm.93636,Dmx-like 2,Dmxl2,,,,
1429527_a_at,1,2.619923583,BF319989,Mm.14627,phospholipid scramblase 1 /// similar to phospholipid scramblase 1,Plscr1 /// LOC433328,,,,
1415973_at,1,2.619819382,AW546141,Mm.30059,Myristoylated alanine rich protein kinase C substrate,Marcks,,,,
1455434_a_at,1,2.618922733,BF162017,Mm.3110,kinectin 1,Ktn1,,,,
1420647_a_at,1,2.616978005,NM_031170,Mm.358618,"keratin complex 2, basic, gene 8 /// similar to cytokeratin EndoA - mouse",Krt2-8 /// LOC434261,,,,
1418890_a_at,1,2.615303698,BB349707,Mm.260157,"RAB3D, member RAS oncogene family",Rab3d,,,,
1419356_at,1,2.614191132,BB524597,Mm.29466,Kruppel-like factor 7 (ubiquitous),Klf7,,,,
1434216_a_at,1,2.613052729,BG070689,Mm.358820,nudix (nucleoside diphosphate linked moiety X)-type motif 19,Nudt19,,,,
1428348_at,1,2.612689056,AV231413,Mm.136913,zinc finger protein 336,Zfp336,,,,
1429556_at,1,2.612512425,BM214769,Mm.24685,RIKEN cDNA 2610024B07 gene,2610024B07Rik,,,,
1449799_s_at,1,2.608003135,AA516617,Mm.2252,plakophilin 2,Pkp2,,,,
1415800_at,1,2.605771919,M63801,Mm.338720,gap junction membrane channel protein alpha 1,Gja1,,,,
1456292_a_at,1,2.603130016,AV147875,Mm.268000,vimentin,Vim,,,,
